ELEV	LAT	LON
`abd or rahman kala	34.3989	68.9894
`abd or rahman kalacheh	32.0663	66.8373
`abd or rahman kariz	32.1778	64.7253
`abd or rahman khan	31.588	65.4827
`abd or rahman kheyl	32.0772	67.7961
`abdorrahmankheyl	35.137	69.0553
`abd or rahman kheyl kariz	32.0866	67.7965
`abd or rahman kur	32.3516	66.6658
`abd or rahman ya`qub	30.9353	61.8706
`abd or rahmanzay	31.332	66.1684
`abd or rashid	33.3778	68.4969
`abd or rashid kariz	31.8021	64.4997
`abd or razzaq	31.514	65.3772
`abd os salam	32.775	67.0339
`abd os samad kalay	31.8018	65.7702
`abd os samad khan	31.2314	62.174
abdow	36.6215	71.1872
abdrrakhimzi	34.5087	70.2313
ab dukan	33.5956	63.5116
`abdulabad	34.3347	62.2511
`abdul	35.6547	64.6067
abdul	31.6889	64.3038
`abdul	36.7536	69.4564
`abdul ahad bay kamari	35.0741	63.1517
abdul ahad bay kamari	35.0837	63.1716
`abdul ahadkhan karez	31.8423	65.8548
abdul ahd bay kamari	35.0741	63.1517
abdul'akhadkhan-karez	31.8423	65.8548
abdul`alikhan kalay	31.3289	64.2804
abdul`alim kalay	31.2297	64.2064
`abdul`alim kalay	31.7025	64.2869
`abdul `alim kelay	31.2297	64.2064
`abdul `aziz	31.1473	62.0907
abdul'aziz-kalay	31.6842	64.3625
`abdul`azizkhan	30.9139	61.8081
abdul'baki	32.0961	65.862
abdul'bakikhan-kalay	31.4786	67.0224
abdul'bakir	31.8933	66.4064
`abdulbaqi	31.1154	61.8273
`abdul baqi	32.0961	65.862
`abdul baqi	31.8933	66.4064
abdul baqikhan kalay	31.4786	67.0224
`abdulbari kor	32.5135	68.1282
`abdulgan	35.8117	66.7268
`abdulgoduskhan kalab	31.4249	65.7114
abdulhabib kalay	30.7253	64.0964
`abdul hakim	34.74	62.2454
'abdul hakim kalay	31.0961	66.6211
`abdulhamid	31.1921	62.154
`abdulhamid kalay	33.2975	68.2802
`abdulhamid kotkay	33.2542	69.8592
`abdul haq	35.2568	63.4867
`abdul haq	35.434	63.3887
`abdul haq kalay	31.9322	66.6548
abdul hazar beg	37.4744	69.6957
`abdulkader kalay	32.2078	67.2667
abdul'kala	33.2444	68.8286
abdul'kala	33.2742	68.8703
`abdul kalay	31.587	67.4062
`abdulkarim	31.1006	61.8417
`abdul karim khan	34.6999	62.5351
abdul'karimkhel'	35.128	69.0566
`abd ul karim taraki	35.0876	63.2589
abdul'kayum-kalay	32.4483	66.8796
`abdul kelay	31.587	67.4062
abdul'khakim	34.74	62.2454
abdul'khakim-kalay	31.0961	66.6211
abdul'khakkalay	31.9322	66.6548
abdul'khamid	33.9179	63.4457
abdul'khamid-kalay	33.2975	68.2802
abdul'khamid-kotkay	33.2542	69.8592
`abdulkhel	34.9507	69.6092
`abdulkhel	34.5129	70.5647
abdul'kheyl'	34.9507	69.6092
abdul'kuduskhan-kalay	31.4249	65.7114
abdulla	32.6577	68.7872
